Name;Email;Company;Consent given on;Where from;Unsubscribed
Anna Rossi;anna.rossi@example.invalid;Harbour Clinic;01/03/2026;the sign-up form on the site;
Ben Okoro;ben.okoro@example.invalid;Marsh Lane Studio;14/06/2026;a form at the trade show;
Carla Vidal;carla.vidal@example.invalid;Quay Road Works;22/01/2020;the old newsletter;
Dan Petrov;dan.petrov@example.invalid;Northgate Supplies;;;
Eve Lindqvist;eve.lindqvist@example.invalid;Harbour Clinic;09/05/2026;the sign-up form on the site;yes
Farid Haddad;farid.haddad@example.invalid;;30/07/2026;a reply to an enquiry;
Gina Moretti;gina.moretti@refuses.invalid;Marsh Lane Studio;12/08/2026;the sign-up form on the site;
Hugo Brandt;hugo.brandt@breaks.invalid;Quay Road Works;03/02/2026;a form at the trade show;
Ilse Vogt;ilse.vogt@example.invalid;Northgate Supplies;18/04/2026;the sign-up form on the site;
;no.address@example.invalid;;;;
